Number,Gender,Age,REL_Q1,REL_Q2,REL_Q3,REL_Q4,REL_Q5,REL_Q6,REL_Q7,REL_Q8,REL_Q9,ACC_Q1,ACC_Q2,ACC_Q3,ACC_Q4,ACC_Q5,ACC_Q6
1,2,20,4,4,4,5,5,4,4,4,4,3,4,4,4,4,4
2,2,22,3,3,3,3,4,4,4,3,3,3,4,2,4,3,3
3,2,19,4,3,3,3,4,4,4,4,4,3,3,2,3,3,3
4,1,20,4,5,4,4,4,3,4,2,4,2,2,1,2,3,3
5,2,20,5,5,4,4,5,5,5,5,5,3,4,3,4,5,4
6,2,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4
7,2,20,4,4,4,4,5,5,5,4,4,3,4,5,5,3,3
8,2,20,5,4,3,4,5,5,4,5,4,4,4,4,4,3,4
9,1,20,4,4,4,5,5,4,5,4,3,3,2,3,3,4,4
10,2,20,4,4,4,4,4,4,4,4,3,2,4,4,4,4,3
11,2,33,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4
12,1,19,4,4,4,4,5,5,4,4,4,4,4,4,4,4,2
13,2,19,4,5,5,5,5,4,5,4,4,4,5,5,5,4,4
14,2,19,4,4,2,4,4,4,4,4,2,2,2,1,2,2,2
15,1,19,4,4,4,4,4,4,4,4,2,4,4,2,3,2,2
16,2,21,5,5,5,5,1,5,5,5,5,4,4,5,5,4,5
17,2,20,5,5,3,5,5,5,5,5,4,4,4,4,4,4,4
18,2,19,4,5,5,5,5,5,5,5,5,1,1,4,1,2,4
19,2,22,4,4,4,5,5,4,5,5,5,4,3,5,5,4,5
20,2,20,4,4,4,4,5,5,4,4,4,3,3,4,4,4,3
21,2,23,4,3,4,5,5,5,4,4,5,4,4,3,3,4,4
22,2,22,3,4,4,4,4,5,5,4,4,3,1,3,3,4,2
23,2,22,5,4,4,5,5,5,5,5,5,4,5,5,4,4,5
24,1,20,4,3,4,4,5,4,4,4,4,4,4,5,4,4,4
25,2,19,4,4,3,4,4,4,4,4,2,4,3,5,3,2,2
26,2,29,4,4,4,5,5,5,5,4,4,4,4,5,4,4,4
27,2,19,4,4,4,5,5,4,4,4,3,3,2,4,2,3,2
28,2,22,4,3,4,4,4,4,4,4,4,3,3,3,2,4,2
29,2,21,3,3,3,4,4,4,4,3,4,3,2,2,4,4,4
30, , , , , , , , , , , , , , , , , 
31,2,21, , , , , , , , , , , , , , , 
32,1,20,4,4,3,4,5,5,5,5,3,2,2,3,2,2,2
33,2,19,4,3,4,4,4,4,4,4,4,3,3,3,4,3,3
34,2,22,5,4,4,4,4,4,4,4,4,3,4,3,4,2,4
35,2,20,4,5,4,4,5,4,4,5,4,3,4,4,2,3,4
36,2,20, , , , , , , , , , , , , , , 
37,2,21, , , , , , , , , , , , , , , 
38,2,19,4,5,4,4,5,4,4,4,3,4,4,5,2,5,4
39,2,18,5,4,4,5,5,4,4,4,4,3,2,3,3,4,3
40,2,21,5,3,5,4,3,4,4,3,4,5,2,2,4,4,2
41,1,20,5,4,3,4,4,5,5,5,3,2,3,3,3,2,3
42,2,21,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4
43,2,20, , , , , , , , , , , , , , , 
